workerID,datetime,location,operationlog,isFull
95078,2019/03/18 14:19:21,2D-1C-06,87386810,FALSE
68309,2019/03/18 14:19:26,2C-2B-13,87386538,FALSE
73250,2019/03/18 14:19:40,2A-2E-08,87381817,FALSE
104,2019/03/18 14:19:44,2A-2B-18,87387575,FALSE
95078,2019/03/18 14:19:56,2D-1A-08,87386810,FALSE
73250,2019/03/18 14:20:15,2A-2J-17,87381817,FALSE
95032,2019/03/18 14:20:28,2A-1C-01,87388015,FALSE
68309,2019/03/18 14:20:42,2C-1B-12,87386538,FALSE
95078,2019/03/18 14:20:56,2D-1C-10,87386810,FALSE
73250,2019/03/18 14:21:18,2A-1B-09,87381817,FALSE
79841,2019/03/18 14:21:21,2B-2J-04,87388355,FALSE
104,2019/03/18 14:21:31,2A-2C-15,87387575,FALSE
104,2019/03/18 14:21:31,2A-2C-15,87387575,FALSE
104,2019/03/18 14:21:31,2A-2C-15,87387575,FALSE
95032,2019/03/18 14:21:36,2A-3G-01,87388015,FALSE
95032,2019/03/18 14:22:35,2A-3O-06,87388015,FALSE
104,2019/03/18 14:22:41,2A-2D-07,87387575,FALSE
79841,2019/03/18 14:22:45,2B-3D-09,87388355,FALSE
73250,2019/03/18 14:23:05,2A-3B-12,87381817,FALSE
104,2019/03/18 14:23:16,2A-2E-05,87387575,FALSE
68309,2019/03/18 14:23:32,2C-1B-14,87386538,FALSE
73250,2019/03/18 14:23:36,2A-3K-02,87381817,FALSE
95032,2019/03/18 14:23:40,2B-1A-03,87388015,FALSE
104,2019/03/18 14:23:41,2A-2F-03,87387575,TRUE
79841,2019/03/18 14:23:41,2B-2D-03,87388355,FALSE
95078,2019/03/18 14:23:47,2D-1A-02,87386810,FALSE
73250,2019/03/18 14:24:18,2A-3O-03,87381817,FALSE
95078,2019/03/18 14:24:40,2D-1A-10,87386810,FALSE
79841,2019/03/18 14:24:51,2B-2B-09,87388355,FALSE
104,2019/03/18 14:25:05,2A-2F-06,87388897,FALSE
68309,2019/03/18 14:25:10,2C-1G-03,87386538,FALSE
95078,2019/03/18 14:25:28,2D-1B-11,87386810,FALSE
95032,2019/03/18 14:25:30,2C-2B-03,87388015,TRUE
104,2019/03/18 14:25:34,2A-2I-01,87388897,FALSE
73250,2019/03/18 14:25:44,2A-1F-12,87381817,FALSE
95078,2019/03/18 14:25:52,2D-1C-07,87386810,FALSE
79841,2019/03/18 14:26:04,2B-3O-02,87388355,FALSE
73250,2019/03/18 14:26:09,2A-1K-13,87381817,FALSE
104,2019/03/18 14:26:13,2A-2J-08,87388897,FALSE
68309,2019/03/18 14:26:30,2C-1J-04,87386538,FALSE
95078,2019/03/18 14:26:41,2D-1C-09,87386810,FALSE
73250,2019/03/18 14:26:56,2A-1L-02,87381817,FALSE
104,2019/03/18 14:27:08,2A-2L-08,87388897,FALSE
104,2019/03/18 14:27:35,2A-2L-09,87388897,FALSE
95078,2019/03/18 14:27:41,2C-1A-04,87386810,FALSE
73250,2019/03/18 14:27:53,2A-2B-02,87381817,FALSE
73250,2019/03/18 14:28:27,2A-2H-14,87381817,FALSE
104,2019/03/18 14:28:33,2A-3B-11,87388897,FALSE
95032,2019/03/18 14:28:44,2A-1C-01,87389207,FALSE
104,2019/03/18 14:29:02,2A-3B-11,87386538,FALSE
68309,2019/03/18 14:29:02,2C-1L-08,87388897,FALSE
73250,2019/03/18 14:29:12,2A-2K-10,87381817,FALSE
95032,2019/03/18 14:29:25,2A-1J-04,87389207,FALSE
104,2019/03/18 14:29:46,2A-3E-15,87388897,FALSE
68309,2019/03/18 14:29:49,2C-3E-07,87386538,FALSE
95032,2019/03/18 14:30:08,2A-2E-12,87389207,FALSE
104,2019/03/18 14:30:22,2A-3G-01,87388897,FALSE
79841,2019/03/18 14:30:27,2B-1B-03,87388355,FALSE
73250,2019/03/18 14:30:36,2A-3G-10,87381817,FALSE
104,2019/03/18 14:30:51,2A-3G-08,87388897,FALSE
68309,2019/03/18 14:31:02,2C-3I-12,87386538,FALSE
95032,2019/03/18 14:31:06,2A-2F-09,87389207,FALSE
79841,2019/03/18 14:31:10,2B-1D-03,87388355,FALSE
95078,2019/03/18 14:31:20,2C-1A-08,87386810,FALSE
95032,2019/03/18 14:31:32,2A-2I-17,87389207,FALSE
73250,2019/03/18 14:31:35,2A-3L-13,87381817,FALSE
79841,2019/03/18 14:31:48,2B-1G-07,87388355,FALSE
95032,2019/03/18 14:31:56,2A-2J-15,87389207,FALSE
104,2019/03/18 14:32:08,2A-3G-11,87388897,FALSE
68309,2019/03/18 14:32:33,2C-2L-08,87386538,FALSE
104,2019/03/18 14:32:37,2A-3H-06,87388897,FALSE
79841,2019/03/18 14:32:53,2B-2A-01,87388355,FALSE
73250,2019/03/18 14:32:57,2A-1F-10,87381817,FALSE
73250,2019/03/18 14:33:22,2A-1G-08,87381817,FALSE
79841,2019/03/18 14:33:29,2B-2F-08,87388355,FALSE
95032,2019/03/18 14:33:30,2A-3H-11,87389207,FALSE
73250,2019/03/18 14:33:55,2A-1H-07,87381817,FALSE
95078,2019/03/18 14:33:57,2C-1B-04,87386810,FALSE
95032,2019/03/18 14:34:09,2B-3A-14,87389207,FALSE
104,2019/03/18 14:34:10,2A-3H-09,87388897,FALSE
79841,2019/03/18 14:34:27,2B-2I-12,87388355,FALSE
68309,2019/03/18 14:34:40,2C-1C-02,87386538,FALSE
104,2019/03/18 14:34:45,2A-3J-09,87388897,FALSE
73250,2019/03/18 14:35:01,2A-1L-14,87381817,FALSE
104,2019/03/18 14:35:06,2A-3J-11,87388897,FALSE
79841,2019/03/18 14:35:13,2B-2J-09,87388355,FALSE
68309,2019/03/18 14:35:31,2C-1C-15,87386538,FALSE
